UniqueID,Position,AGF,AIK,AaB,Aberdeen,Ajax,Almere City,Anderlecht,Angers SCO,Antwerp,Arouca,Arsenal,Aston Villa,Atalanta,Athletic Bilbao,Atlanta United,Atlético Madrid,Augsburg,Austin FC,Auxerre,Barcelona,Bayer Leverkusen,Bayern München,Benfica,Blackburn Rovers,Boavista,Bochum,Bologna,Borussia Dortmund,Borussia M_gladbach,Bournemouth,Brentford,Brest,Brighton,Bristol City,Brøndby,Burnley,CF Montréal,Cagliari,Cardiff City,Casa Pia AC,Celta de Vigo,Celtic,Chelsea,Chicago Fire,Cincinnati,Club Brugge,Colorado Rapids,Columbus Crew,Como,Coventry City,Crystal Palace,DC United,Dallas,Deportivo Alavés,Derby County,Djurgården,Eintracht Frankfurt,Elfsborg,Empoli,Espanyol,Estoril,Estrela Amadora,Everton,Famalicão,Farense,Feyenoord,Fiorentina,Fortuna Sittard,Freiburg,Fulham,Genk,Genoa,Getafe,Gil Vicente,Girona,Go Ahead Eagles,Groningen,Halmstad,Hearts,Heerenveen,Heidenheim,Hellas Verona,Heracles,Hoffenheim,Holstein Kiel,Houston Dynamo,Hull City,Häcken,IFK Göteborg,IFK Norrköping,Inter Miami,Internazionale,Ipswich Town,Juventus,Kalmar,København,Las Palmas,Lazio,Le Havre,Lecce,Leeds United,Leganés,Leicester City,Lens,Lille,Liverpool,Los Angeles FC,Los Angeles Galaxy,Luton Town,Lyngby,Mainz 05,Mallorca,Malmö FF,Manchester City,Manchester United,Middlesbrough,Midtjylland,Milan,Millwall,Minnesota United,Monaco,Montpellier,Monza,Moreirense,NAC Breda,NEC,Nantes,Napoli,Nashville SC,New England,New York City,New York RB,Newcastle United,Nice,Nordsjælland,Norwich City,Nottingham Forest,Olympique Lyonnais,Olympique Marseille,Orlando City,Osasuna,Oxford United,PEC Zwolle,PSG,PSV,Parma,Philadelphia Union,Plymouth Argyle,Portland Timbers,Porto,Portsmouth,Preston North End,Queens Park Rangers,RB Leipzig,RKC Waalwijk,Randers,Rangers,Rayo Vallecano,Real Betis,Real Madrid,Real Salt Lake,Real Sociedad,Real Valladolid,Reims,Rennes,Rio Ave,Roma,SJ Earthquakes,Saint-Étienne,Santa Clara,Seattle Sounders,Sevilla,Sheffield United,Sheffield Wednesday,Silkeborg,Sirius,Southampton,Sparta Rotterdam,Sporting Braga,Sporting CP,St_DOT_ Louis City,St_DOT_ Pauli,Stoke City,Strasbourg,Stuttgart,Sunderland,Swansea City,SønderjyskE,Torino,Toronto,Tottenham Hotspur,Toulouse,Twente,Udinese,Union Berlin,Union Saint-Gilloise,Utrecht,Valencia,Vancouver Whitecaps,Venezia,Viborg,Villarreal,Vitória Guimarães,Värnamo,Västerås SK,Watford,Werder Bremen,West Bromwich Albion,West Ham United,Willem II,Wolfsburg,Wolverhampton Wanderers
16776,AM,70,77,76,67,70,74,69,68,70,72,66,69,74,68,68,67,73,68,71,75,79,74,73,76,69,72,69,75,70,77,71,75,66,70,71,78,71,69,74,71,80,64,73,74,72,65,79,68,73,74,75,71,75,68,69,73,68,76,67,69,68,70,73,70,71,69,67,69,65,70,67,69,71,72,61,75,77,70,72,76,69,73,74,77,78,71,65,66,70,68,69,73,76,66,74,72,67,68,72,73,69,72,70,75,69,75,81,70,70,70,69,70,77,72,72,71,72,66,67,74,79,68,67,70,72,76,72,65,69,70,70,72,73,68,77,69,69,71,69,74,68,72,72,78,76,77,71,73,75,71,75,73,68,69,72,73,77,69,76,69,69,64,70,68,74,76,67,69,73,79,70,74,73,68,67,70,73,80,69,68,80,74,72,78,84,72,68,76,73,66,63,67,67,67,73,83,78,66,70,71,73,72,80,73,75,70,71,69,65,72,75,74
17320,AM,66,68,67,62,65,65,63,62,63,66,62,64,67,63,64,64,69,63,63,68,71,69,66,67,63,64,63,69,65,69,65,67,64,63,64,71,65,65,66,65,72,59,67,66,65,61,71,63,67,68,68,65,67,62,63,65,64,68,62,63,64,64,65,63,62,63,64,61,62,64,62,64,64,66,59,68,69,62,64,68,65,66,67,69,70,65,62,63,62,62,63,67,69,63,66,64,64,66,65,68,63,66,64,68,65,69,73,65,64,63,63,63,67,65,66,65,66,63,60,68,71,63,62,64,65,68,66,63,65,65,64,67,69,64,70,63,63,68,65,68,62,65,64,71,68,70,64,65,68,66,67,64,62,64,64,67,68,65,70,64,65,61,64,65,67,67,64,63,64,71,64,68,66,63,62,62,68,69,63,63,71,68,65,71,75,66,64,67,68,62,61,62,62,64,66,72,70,62,64,65,67,67,75,66,67,66,65,63,62,65,69,67
17691,AM,66,67,67,62,65,64,63,62,63,66,62,64,67,63,64,65,69,63,63,68,71,69,66,67,63,64,63,69,65,69,65,66,64,63,64,71,65,65,66,65,72,59,67,66,65,62,71,63,68,68,68,65,67,62,63,65,64,68,62,63,64,64,65,63,62,64,64,61,62,64,63,64,64,66,60,68,68,62,64,67,65,66,66,68,70,65,62,63,61,62,63,67,69,64,66,64,64,66,65,68,63,66,64,68,65,69,73,65,64,64,63,63,67,65,66,65,66,64,60,68,71,63,62,64,65,68,65,64,65,66,65,67,69,64,71,63,63,68,65,68,62,65,64,71,68,70,64,64,68,66,67,64,62,64,64,67,67,65,70,64,65,61,64,65,67,67,65,63,64,71,64,68,66,63,63,62,68,69,63,64,71,68,65,71,75,66,64,67,68,62,61,62,62,64,66,72,70,62,65,65,68,67,75,66,67,66,66,64,62,65,69,67
18046,AM,65,66,68,61,64,64,63,61,63,65,61,64,68,62,63,63,68,62,62,69,72,68,66,67,63,64,64,69,65,69,65,66,63,63,64,71,65,64,67,65,72,59,67,67,66,61,72,62,66,66,67,65,68,62,62,65,64,69,62,62,64,64,65,62,63,63,63,62,62,65,62,64,64,66,59,68,69,61,64,68,64,66,66,69,71,65,61,62,62,61,63,67,68,63,66,65,64,65,65,67,64,65,63,69,64,69,73,64,64,63,63,62,69,66,66,65,67,62,59,68,72,62,61,64,64,67,65,62,64,66,65,66,68,63,70,63,63,66,65,69,62,64,64,70,69,70,65,65,67,65,66,64,61,65,63,67,68,63,69,63,64,60,63,64,68,67,64,63,63,71,64,68,66,62,62,62,66,70,63,63,71,68,65,71,76,65,62,67,67,61,60,62,62,63,66,73,71,62,64,64,67,67,74,65,67,65,65,63,61,65,69,67
18452,AM,65,62,66,60,63,61,62,60,62,64,61,62,67,61,63,62,67,62,60,67,70,65,64,65,62,62,63,68,63,65,64,63,64,61,63,69,64,63,65,64,69,60,66,65,66,61,71,62,65,64,64,64,67,60,61,63,64,68,61,60,64,63,62,60,60,63,62,60,62,63,62,62,62,65,60,66,66,59,62,66,63,63,63,67,69,64,61,63,60,59,63,65,67,63,64,64,64,65,63,66,63,64,62,67,63,68,70,63,61,61,62,60,67,65,64,64,67,61,57,67,71,60,59,64,62,65,63,62,63,66,65,65,67,62,68,62,62,65,66,68,60,63,61,68,67,68,64,62,65,64,64,61,59,64,61,66,66,61,67,62,64,60,62,63,67,65,64,62,60,69,64,66,64,61,62,60,65,67,63,62,69,67,63,69,73,64,62,64,66,61,60,62,62,62,63,70,70,61,63,64,66,67,72,64,66,64,64,62,60,63,68,65
5292,AM,78,68,73,69,74,66,72,70,70,73,69,70,73,69,74,73,77,72,69,75,76,74,71,71,71,67,70,76,72,70,72,67,75,70,72,75,74,73,73,74,75,70,74,73,75,72,79,72,76,73,70,74,76,69,70,72,75,78,69,70,75,72,67,68,66,73,72,68,73,70,73,71,69,75,71,75,74,67,70,74,72,70,71,72,75,74,74,77,67,69,73,73,76,74,72,73,75,77,70,75,73,74,72,74,73,76,78,73,67,70,68,66,75,71,71,74,77,72,64,77,77,68,68,73,69,73,70,74,75,77,75,75,77,72,78,71,68,77,76,78,68,71,68,74,75,78,74,69,74,74,72,67,69,72,68,76,73,70,74,71,76,70,72,74,75,71,75,71,67,79,74,75,71,71,74,67,77,72,71,73,75,76,72,77,79,74,74,71,74,72,70,71,73,72,70,75,79,70,73,74,77,76,83,73,75,75,72,73,69,72,77,70
5757,AM,70,63,66,63,67,61,65,64,63,66,62,63,66,62,67,65,69,65,63,67,69,67,65,65,64,61,63,68,65,64,65,61,67,64,65,68,66,65,66,66,68,63,66,66,67,65,71,64,68,67,63,66,68,62,63,65,67,70,62,63,67,65,61,62,60,66,65,61,65,63,66,64,62,67,63,68,67,61,63,67,65,63,64,65,68,66,66,69,61,62,65,66,68,66,65,66,67,69,63,68,66,67,65,67,66,68,71,66,61,64,62,60,67,64,64,67,69,65,59,69,70,62,61,66,63,66,63,66,68,69,67,68,69,65,71,64,61,69,68,69,61,64,62,68,68,71,66,63,67,66,65,61,62,65,62,69,66,63,67,64,68,63,65,66,67,65,67,64,62,72,66,67,64,64,66,61,69,66,64,65,68,69,65,69,71,66,66,65,67,64,63,64,65,65,64,68,71,63,66,67,69,68,75,66,68,68,65,65,62,65,69,64
11541,AM,70,56,63,61,65,55,64,62,61,63,61,61,64,60,67,64,67,64,59,66,66,63,62,61,63,57,62,66,63,58,63,56,68,62,64,65,66,64,64,66,63,63,65,65,68,65,71,64,66,63,58,65,67,60,61,63,68,69,60,61,68,63,56,57,56,65,63,59,66,62,66,62,59,66,65,66,64,57,61,64,63,60,60,61,66,65,67,71,58,60,65,63,66,67,62,65,68,69,60,65,66,64,64,65,64,67,67,64,57,61,60,55,66,63,60,66,70,64,55,69,68,59,58,65,59,61,60,67,67,70,68,66,68,64,69,63,59,67,69,70,59,61,58,63,66,69,66,59,64,64,61,56,59,65,57,68,63,60,64,63,68,62,63,65,66,61,67,62,56,70,66,65,61,63,67,58,67,61,64,64,64,67,62,67,67,64,65,61,64,64,63,63,66,63,60,63,70,62,65,65,68,68,73,63,66,67,63,64,61,63,68,60
16126,AM,85,78,79,76,81,74,78,77,77,80,75,77,79,76,81,80,85,78,77,81,83,83,78,78,77,75,76,82,79,79,78,76,81,77,78,83,80,79,80,80,83,75,80,79,81,78,86,78,83,82,78,80,82,75,77,79,80,84,75,77,81,79,75,76,73,79,78,74,78,76,79,78,75,81,76,82,81,74,76,81,79,77,79,79,83,80,80,83,74,76,79,80,83,80,80,79,80,83,76,83,79,81,79,80,80,82,86,81,74,77,75,73,81,77,78,81,82,79,71,83,84,75,75,79,77,81,77,80,82,83,81,82,84,78,86,77,74,85,81,83,75,77,75,83,82,85,80,76,81,81,79,74,76,78,75,83,80,78,83,78,82,76,79,81,81,78,81,77,75,86,80,82,77,78,79,74,84,80,77,79,83,84,78,84,87,81,81,78,81,78,76,77,78,79,78,82,85,76,80,81,84,83,91,80,82,82,79,79,76,79,84,78
16558,AM,86,81,81,78,83,77,79,79,79,82,77,79,81,78,82,81,86,79,79,83,86,85,80,81,79,77,78,84,81,82,80,79,81,79,80,85,81,81,82,81,86,76,82,81,82,79,88,79,85,84,81,82,84,77,78,81,81,86,77,79,82,81,78,78,75,80,80,76,79,78,80,80,78,83,77,84,84,76,79,83,80,79,81,82,85,82,81,83,76,78,80,82,85,81,82,80,81,84,79,85,80,83,80,82,81,84,89,82,77,79,77,75,83,79,80,82,83,81,74,85,86,77,77,81,79,83,79,81,83,84,82,84,86,80,88,79,76,86,82,84,77,80,78,85,84,87,81,79,83,82,82,77,78,80,78,85,82,80,85,80,83,77,80,82,83,81,82,79,78,88,81,84,80,80,80,76,86,83,78,81,86,85,80,86,90,83,82,81,83,79,77,78,79,81,80,85,87,78,81,82,85,84,93,82,83,83,81,80,77,82,85,80
