UniqueID,Position,AGF,AIK,AaB,Aberdeen,Ajax,Almere City,Anderlecht,Angers SCO,Antwerp,Arouca,Arsenal,Aston Villa,Atalanta,Athletic Bilbao,Atlanta United,Atlético Madrid,Augsburg,Austin FC,Auxerre,Barcelona,Bayer Leverkusen,Bayern München,Benfica,Blackburn Rovers,Boavista,Bochum,Bologna,Borussia Dortmund,Borussia M_gladbach,Bournemouth,Brentford,Brest,Brighton,Bristol City,Brøndby,Burnley,CF Montréal,Cagliari,Cardiff City,Casa Pia AC,Celta de Vigo,Celtic,Chelsea,Chicago Fire,Cincinnati,Club Brugge,Colorado Rapids,Columbus Crew,Como,Coventry City,Crystal Palace,DC United,Dallas,Deportivo Alavés,Derby County,Djurgården,Eintracht Frankfurt,Elfsborg,Empoli,Espanyol,Estoril,Estrela Amadora,Everton,Famalicão,Farense,Feyenoord,Fiorentina,Fortuna Sittard,Freiburg,Fulham,Genk,Genoa,Getafe,Gil Vicente,Girona,Go Ahead Eagles,Groningen,Halmstad,Hearts,Heerenveen,Heidenheim,Hellas Verona,Heracles,Hoffenheim,Holstein Kiel,Houston Dynamo,Hull City,Häcken,IFK Göteborg,IFK Norrköping,Inter Miami,Internazionale,Ipswich Town,Juventus,Kalmar,København,Las Palmas,Lazio,Le Havre,Lecce,Leeds United,Leganés,Leicester City,Lens,Lille,Liverpool,Los Angeles FC,Los Angeles Galaxy,Luton Town,Lyngby,Mainz 05,Mallorca,Malmö FF,Manchester City,Manchester United,Middlesbrough,Midtjylland,Milan,Millwall,Minnesota United,Monaco,Montpellier,Monza,Moreirense,NAC Breda,NEC,Nantes,Napoli,Nashville SC,New England,New York City,New York RB,Newcastle United,Nice,Nordsjælland,Norwich City,Nottingham Forest,Olympique Lyonnais,Olympique Marseille,Orlando City,Osasuna,Oxford United,PEC Zwolle,PSG,PSV,Parma,Philadelphia Union,Plymouth Argyle,Portland Timbers,Porto,Portsmouth,Preston North End,Queens Park Rangers,RB Leipzig,RKC Waalwijk,Randers,Rangers,Rayo Vallecano,Real Betis,Real Madrid,Real Salt Lake,Real Sociedad,Real Valladolid,Reims,Rennes,Rio Ave,Roma,SJ Earthquakes,Saint-Étienne,Santa Clara,Seattle Sounders,Sevilla,Sheffield United,Sheffield Wednesday,Silkeborg,Sirius,Southampton,Sparta Rotterdam,Sporting Braga,Sporting CP,St_DOT_ Louis City,St_DOT_ Pauli,Stoke City,Strasbourg,Stuttgart,Sunderland,Swansea City,SønderjyskE,Torino,Toronto,Tottenham Hotspur,Toulouse,Twente,Udinese,Union Berlin,Union Saint-Gilloise,Utrecht,Valencia,Vancouver Whitecaps,Venezia,Viborg,Villarreal,Vitória Guimarães,Värnamo,Västerås SK,Watford,Werder Bremen,West Bromwich Albion,West Ham United,Willem II,Wolfsburg,Wolverhampton Wanderers
18826,CM,99,100,99,96,95,96,99,99,100,98,93,97,95,98,99,100,90,100,100,91,89,82,95,100,87,93,99,91,100,98,93,100,97,100,100,100,98,87,97,83,100,84,90,100,94,99,94,93,99,100,98,89,99,87,95,100,94,94,85,97,88,92,96,97,86,95,98,90,97,98,100,88,87,98,95,93,95,93,100,99,92,87,98,100,100,98,99,94,99,98,97,91,100,100,100,98,97,99,94,88,99,97,100,100,97,90,96,83,95,98,96,97,93,85,97,100,92,99,91,85,95,95,99,88,100,100,96,97,100,99,95,88,99,99,88,100,88,96,94,98,91,96,95,80,87,92,92,92,100,93,100,100,97,97,92,93,97,96,100,88,97,100,99,94,97,96,100,93,100,91,98,99,90,93,89,100,91,100,100,95,94,100,94,100,90,99,100,100,97,100,98,95,97,82,93,99,95,90,99,99,99,98,90,100,100,95,100,100,91,100,90,100
19512,CM,90,97,89,87,85,86,90,89,93,89,84,89,86,88,90,90,81,93,95,82,81,73,87,96,78,83,89,82,93,89,84,96,88,90,91,90,89,77,88,75,93,75,82,91,86,90,85,85,90,92,88,80,91,78,85,93,85,85,76,87,80,83,85,87,77,86,89,81,87,89,90,79,78,88,86,84,86,83,91,90,83,79,88,90,94,89,89,85,90,88,87,82,90,91,97,89,88,90,85,80,89,87,93,90,88,81,88,76,85,87,86,87,85,78,89,93,83,90,81,77,86,85,89,80,92,94,87,88,90,90,87,80,90,90,80,94,80,87,85,90,81,87,86,72,78,84,83,83,92,85,90,91,87,88,83,84,88,87,91,81,88,92,90,85,89,87,90,84,92,82,89,90,81,84,80,96,82,92,91,86,86,97,85,91,82,90,92,93,89,91,89,86,89,74,83,90,86,81,90,89,90,89,82,92,91,86,92,96,82,90,82,91
18211,CM,89,96,85,83,81,82,88,87,92,89,84,92,84,87,89,90,79,96,94,79,75,66,82,95,74,80,90,78,95,86,83,98,86,88,87,93,89,77,86,71,93,66,79,91,82,88,83,81,89,90,86,75,91,76,82,89,85,81,74,85,77,79,85,86,74,81,90,77,89,91,88,78,77,88,86,81,81,80,89,87,81,75,87,90,94,89,89,80,85,85,85,81,88,93,98,86,88,91,84,77,85,85,91,89,88,77,85,69,84,87,85,88,78,74,88,92,78,91,77,71,84,84,95,77,92,92,88,88,92,90,84,73,90,90,73,95,77,84,84,88,80,84,84,65,71,80,79,79,90,81,90,89,85,87,79,79,84,85,91,76,85,93,88,84,87,86,92,82,88,76,88,90,80,80,77,95,77,91,89,84,80,96,82,92,78,88,92,92,92,91,88,83,84,72,83,85,81,81,93,89,89,90,78,90,86,84,95,99,81,90,81,92
16738,CM,93,100,93,90,89,88,94,92,96,93,88,92,90,91,94,94,83,96,98,85,86,77,90,99,81,86,92,85,96,93,87,99,92,93,95,94,92,80,91,78,97,79,86,94,90,93,89,89,93,96,91,83,95,80,87,96,89,88,79,90,83,86,88,89,80,90,93,83,90,93,94,81,80,92,89,87,89,85,94,94,85,82,90,93,97,92,92,89,93,92,90,86,94,94,99,93,91,94,88,83,93,90,97,94,92,84,92,80,88,89,89,89,89,83,94,97,87,94,83,81,90,88,91,83,95,98,90,92,93,94,91,84,95,94,83,98,83,91,89,94,83,90,90,76,82,89,87,87,95,89,92,94,89,92,86,88,93,90,95,85,91,96,93,88,93,91,93,87,95,86,93,93,84,87,84,99,85,95,95,90,90,99,89,95,85,94,95,96,92,95,93,89,93,77,85,94,90,83,94,93,94,92,85,96,95,89,95,99,85,93,85,95
16780,CM,99,100,99,97,95,97,100,99,100,98,94,98,95,98,99,100,90,100,100,91,89,82,96,100,87,94,100,91,100,99,94,100,97,100,100,100,99,87,98,83,100,84,91,100,95,100,95,94,100,100,98,90,100,88,95,100,94,94,86,98,88,92,96,97,87,95,99,91,97,99,100,88,88,98,96,93,96,94,100,100,93,88,99,100,100,99,99,94,100,98,98,92,100,100,100,99,97,99,95,89,99,97,100,100,98,90,97,83,96,98,97,98,94,86,98,100,92,100,92,86,96,96,99,89,100,100,97,98,100,100,96,88,100,100,89,100,89,96,95,99,92,96,96,81,88,93,93,92,100,94,100,100,97,97,93,93,98,97,100,89,97,100,100,94,98,96,100,94,100,92,99,99,91,94,90,100,91,100,100,96,95,100,95,100,91,100,100,100,98,100,99,95,98,83,93,100,95,91,100,99,100,98,91,100,100,96,100,100,92,100,91,100
26424,CM,93,100,98,96,94,95,96,95,100,93,91,90,93,95,94,97,88,93,99,91,92,87,96,100,86,94,94,91,96,99,91,100,95,96,98,94,93,84,95,82,99,89,91,95,94,97,92,92,95,99,97,90,93,86,93,100,90,92,84,93,86,91,93,92,86,95,94,89,91,93,98,86,85,93,91,91,95,90,97,97,90,88,94,96,97,93,93,93,98,95,94,88,97,93,99,97,92,93,91,88,98,94,100,97,94,91,95,85,93,92,94,93,94,87,95,99,91,94,91,87,94,93,88,86,98,100,92,93,93,95,93,90,97,95,91,97,88,95,91,95,89,94,93,86,90,91,92,92,98,93,97,98,93,94,92,94,98,95,97,90,95,97,95,90,96,92,93,91,99,91,94,94,88,92,88,100,91,97,98,93,95,100,93,95,91,96,96,97,90,95,96,94,98,81,89,100,95,86,91,93,96,93,90,97,100,92,96,95,89,96,88,96
26858,CM,80,87,80,78,77,78,81,80,84,79,75,78,77,79,80,81,72,83,85,73,72,66,77,86,70,75,80,73,83,79,75,86,78,81,81,81,80,70,79,67,83,68,73,81,77,81,76,75,81,83,79,72,80,71,77,83,76,76,69,79,71,74,77,78,70,77,79,73,78,79,81,71,71,79,77,75,77,76,82,81,74,71,80,81,85,80,80,76,80,79,79,73,81,81,87,80,78,80,76,71,80,79,83,81,78,72,78,67,77,79,78,79,76,69,78,83,74,80,74,69,77,77,80,71,83,84,78,78,81,81,77,71,80,80,71,84,71,77,76,80,74,78,77,65,71,75,75,74,82,75,82,82,78,78,75,75,79,78,81,71,78,82,81,76,79,78,81,75,83,74,80,80,73,76,72,86,73,83,81,77,76,87,76,81,73,80,83,83,79,81,79,77,79,66,75,80,77,73,81,80,81,79,73,83,81,77,83,85,73,81,73,81
27359,CM,84,89,81,78,77,76,83,82,85,83,77,84,78,80,84,83,73,88,88,73,71,62,77,89,70,73,82,73,87,79,76,89,79,82,82,84,83,70,80,67,86,64,73,85,78,82,78,77,83,84,79,71,85,70,76,85,79,76,68,80,72,74,77,80,69,77,83,73,81,83,82,71,70,82,79,76,77,75,83,82,75,70,80,83,88,82,83,77,81,81,79,75,83,85,91,81,81,84,77,72,80,80,85,82,81,71,80,67,77,80,78,80,75,70,81,86,75,84,72,69,78,77,85,73,85,86,80,81,85,84,79,70,83,83,70,88,71,78,78,83,73,79,79,61,68,77,75,75,84,76,83,83,79,81,74,75,79,78,84,72,80,85,83,78,81,81,84,77,84,74,83,83,73,75,72,89,73,85,83,79,76,90,77,85,72,83,85,86,84,85,81,77,80,66,75,80,77,74,86,83,83,82,73,85,82,79,86,92,74,83,75,84
2105,CM,77,82,74,71,71,70,76,75,79,78,73,79,74,75,77,78,68,82,81,69,67,59,72,82,64,69,77,68,82,75,72,84,75,76,76,80,77,66,74,62,81,59,69,79,72,76,72,71,76,78,75,65,79,65,70,78,74,70,64,73,67,69,73,74,64,71,78,66,77,78,76,67,65,76,74,70,71,68,76,76,70,65,74,78,81,76,76,70,74,74,73,71,76,80,83,75,76,79,72,67,74,73,79,78,76,68,74,62,72,74,73,75,69,66,77,80,69,79,66,63,73,72,80,67,78,79,75,77,79,77,73,65,78,78,64,82,67,73,73,77,68,73,73,57,62,71,69,69,78,71,76,77,73,76,68,69,73,73,79,68,74,80,76,73,76,75,79,71,77,67,76,78,69,69,66,82,67,78,78,73,71,83,71,80,68,76,79,79,79,78,77,73,74,62,70,74,71,69,80,77,77,78,68,78,75,72,81,85,70,77,70,80
6483,CM,80,85,82,78,77,75,81,79,82,81,79,80,80,80,81,83,73,80,82,76,78,71,80,86,70,76,80,76,84,83,77,86,82,79,83,82,79,69,79,68,85,70,77,81,80,81,78,78,79,83,81,73,82,70,75,83,78,76,70,76,72,75,77,76,70,80,82,72,78,82,82,71,70,79,77,75,78,72,81,82,75,73,76,82,84,79,79,77,81,79,77,76,81,81,83,82,80,82,76,74,81,77,84,83,81,76,81,72,77,74,78,77,78,76,84,84,76,82,71,72,80,77,76,72,80,85,78,81,79,80,79,75,85,83,74,84,75,81,78,81,72,79,77,69,72,78,76,76,82,79,78,81,76,81,74,78,82,80,83,77,79,84,79,77,83,78,81,76,82,74,80,81,74,75,72,84,74,81,83,79,79,85,77,82,76,81,81,82,80,82,83,79,82,68,73,83,79,71,79,79,81,81,75,82,84,77,82,83,75,80,75,84
