UniqueID,Position,AGF,AIK,AaB,Aberdeen,Ajax,Almere City,Anderlecht,Angers SCO,Antwerp,Arouca,Arsenal,Aston Villa,Atalanta,Athletic Bilbao,Atlanta United,Atlético Madrid,Augsburg,Austin FC,Auxerre,Barcelona,Bayer Leverkusen,Bayern München,Benfica,Blackburn Rovers,Boavista,Bochum,Bologna,Borussia Dortmund,Borussia M_gladbach,Bournemouth,Brentford,Brest,Brighton,Bristol City,Brøndby,Burnley,CF Montréal,Cagliari,Cardiff City,Casa Pia AC,Celta de Vigo,Celtic,Chelsea,Chicago Fire,Cincinnati,Club Brugge,Colorado Rapids,Columbus Crew,Como,Coventry City,Crystal Palace,DC United,Dallas,Deportivo Alavés,Derby County,Djurgården,Eintracht Frankfurt,Elfsborg,Empoli,Espanyol,Estoril,Estrela Amadora,Everton,Famalicão,Farense,Feyenoord,Fiorentina,Fortuna Sittard,Freiburg,Fulham,Genk,Genoa,Getafe,Gil Vicente,Girona,Go Ahead Eagles,Groningen,Halmstad,Hearts,Heerenveen,Heidenheim,Hellas Verona,Heracles,Hoffenheim,Holstein Kiel,Houston Dynamo,Hull City,Häcken,IFK Göteborg,IFK Norrköping,Inter Miami,Internazionale,Ipswich Town,Juventus,Kalmar,København,Las Palmas,Lazio,Le Havre,Lecce,Leeds United,Leganés,Leicester City,Lens,Lille,Liverpool,Los Angeles FC,Los Angeles Galaxy,Luton Town,Lyngby,Mainz 05,Mallorca,Malmö FF,Manchester City,Manchester United,Middlesbrough,Midtjylland,Milan,Millwall,Minnesota United,Monaco,Montpellier,Monza,Moreirense,NAC Breda,NEC,Nantes,Napoli,Nashville SC,New England,New York City,New York RB,Newcastle United,Nice,Nordsjælland,Norwich City,Nottingham Forest,Olympique Lyonnais,Olympique Marseille,Orlando City,Osasuna,Oxford United,PEC Zwolle,PSG,PSV,Parma,Philadelphia Union,Plymouth Argyle,Portland Timbers,Porto,Portsmouth,Preston North End,Queens Park Rangers,RB Leipzig,RKC Waalwijk,Randers,Rangers,Rayo Vallecano,Real Betis,Real Madrid,Real Salt Lake,Real Sociedad,Real Valladolid,Reims,Rennes,Rio Ave,Roma,SJ Earthquakes,Saint-Étienne,Santa Clara,Seattle Sounders,Sevilla,Sheffield United,Sheffield Wednesday,Silkeborg,Sirius,Southampton,Sparta Rotterdam,Sporting Braga,Sporting CP,St_DOT_ Louis City,St_DOT_ Pauli,Stoke City,Strasbourg,Stuttgart,Sunderland,Swansea City,SønderjyskE,Torino,Toronto,Tottenham Hotspur,Toulouse,Twente,Udinese,Union Berlin,Union Saint-Gilloise,Utrecht,Valencia,Vancouver Whitecaps,Venezia,Viborg,Villarreal,Vitória Guimarães,Värnamo,Västerås SK,Watford,Werder Bremen,West Bromwich Albion,West Ham United,Willem II,Wolfsburg,Wolverhampton Wanderers
5713,FWD,100,100,100,100,100,99,100,100,100,98,100,100,100,100,100,98,100,100,100,99,96,97,98,100,100,98,100,99,100,98,100,100,100,100,99,100,100,100,100,100,99,98,100,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,100,100,100,99,100,100,100,100,100,100,100,100,100,99,100,97,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,98,100,100,100,100,99,97,99,98,100,100,97,100,100,100,100,100,100,98,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,99
11183,FWD,72,60,66,66,73,59,67,69,63,60,74,70,70,66,67,65,71,73,65,72,73,77,69,59,70,61,66,71,63,63,67,59,69,66,67,64,66,73,66,72,62,78,73,65,72,70,75,77,71,66,61,70,68,71,68,66,68,73,68,67,74,70,62,66,65,72,67,68,69,64,68,70,69,68,75,73,62,66,65,65,69,63,65,62,69,70,71,76,66,66,67,72,69,71,63,68,68,71,66,71,70,69,67,64,68,72,69,74,65,69,64,61,77,84,58,66,74,71,66,71,70,62,69,71,63,64,66,70,69,71,72,67,66,67,77,63,66,70,72,73,68,60,60,79,75,73,73,62,67,74,65,61,67,67,61,69,70,62,65,74,72,63,68,70,67,65,69,67,63,74,72,65,66,69,73,62,78,64,67,75,67,70,64,66,74,67,69,62,70,69,70,65,67,76,65,65,71,72,68,71,70,72,76,67,64,71,64,75,67,65,70,60
28717,FWD,76,66,69,69,74,64,71,72,68,66,77,76,73,72,72,69,76,77,69,74,74,76,71,65,73,67,71,74,69,68,72,67,73,71,70,71,69,78,70,75,68,75,75,70,74,73,77,78,75,69,67,72,72,75,71,70,73,75,73,71,76,73,69,72,69,74,73,72,75,70,72,74,75,73,78,76,67,69,69,69,73,69,70,68,75,73,74,77,69,70,69,74,72,76,68,70,72,76,71,75,72,73,70,70,72,74,72,74,71,74,70,68,76,84,64,69,76,75,69,73,73,69,76,74,68,68,71,74,75,75,75,69,72,73,76,68,70,72,75,76,73,65,64,78,74,76,75,66,71,76,70,67,71,71,65,71,72,68,71,76,74,70,72,74,72,70,74,70,67,75,75,71,71,72,73,67,79,69,71,76,70,75,68,72,75,72,73,67,76,74,74,70,70,79,71,68,73,77,72,74,73,76,78,71,68,75,70,79,73,70,75,67
29162,FWD,76,67,69,69,72,65,71,72,69,66,76,76,72,71,72,68,75,77,70,72,71,73,69,65,72,67,71,72,69,67,71,68,71,71,68,71,69,77,70,74,68,72,73,71,73,72,76,77,74,68,67,72,71,75,71,70,72,74,72,71,75,73,69,72,68,72,73,71,75,69,71,73,75,73,77,75,67,69,69,68,72,69,70,68,75,72,74,75,68,70,68,72,71,75,69,69,72,75,70,74,71,72,69,69,71,72,70,71,71,74,70,70,74,80,64,69,75,74,69,71,71,69,76,74,69,68,70,73,75,74,74,68,71,73,73,67,68,71,74,75,73,66,64,74,71,74,74,65,71,74,70,68,71,70,65,70,70,68,70,74,73,70,73,74,71,70,73,69,67,74,75,71,70,72,71,68,76,70,70,75,68,75,68,71,73,72,72,68,76,73,72,70,69,77,71,67,71,77,72,74,73,75,76,71,67,74,70,79,72,71,74,67
35888,FWD,74,67,69,69,73,64,71,72,68,66,73,72,71,69,71,69,72,76,71,72,71,72,70,66,70,65,70,71,69,66,69,66,70,70,70,69,70,72,69,71,67,73,72,70,72,72,75,76,73,70,65,70,71,71,70,70,71,73,69,70,73,71,66,70,67,72,70,70,72,68,71,70,70,71,75,73,66,69,69,69,70,65,69,67,74,73,73,75,69,70,69,72,72,74,70,70,70,73,69,71,71,72,71,68,71,71,71,72,68,72,67,66,75,78,63,70,74,73,68,70,71,67,73,72,69,69,69,72,73,73,73,68,69,71,74,69,67,71,73,74,70,65,65,74,73,73,73,65,71,73,70,67,71,70,65,70,72,66,69,72,73,68,71,71,69,69,72,69,68,74,74,69,68,70,72,69,76,69,70,75,69,74,68,70,72,71,73,68,73,73,71,67,69,73,68,68,71,73,72,74,73,74,74,71,68,72,69,78,69,70,71,66
33818,FWD,72,66,67,66,71,62,69,69,66,64,73,72,70,69,69,68,71,75,68,70,69,70,68,65,68,64,70,70,69,66,69,67,70,68,68,69,68,72,67,68,67,69,71,68,69,70,72,73,71,68,65,67,70,70,68,68,70,70,68,68,71,69,66,68,65,69,70,67,72,68,69,69,69,70,74,71,63,66,68,67,69,64,68,67,73,71,71,72,66,67,67,71,69,74,69,68,70,73,68,70,69,69,69,68,70,70,69,68,67,70,67,66,71,76,63,68,71,72,66,67,70,66,74,69,67,67,69,71,71,71,70,65,69,70,70,68,67,69,71,72,69,63,63,71,69,70,70,63,69,71,68,65,68,69,63,67,69,65,69,71,71,68,69,70,68,68,72,67,66,69,72,69,68,68,69,67,73,67,69,72,66,74,65,70,71,68,71,66,73,71,71,67,67,72,68,66,68,72,71,71,70,73,72,69,65,70,69,76,69,68,70,66
9161,FWD,65,57,59,59,64,54,62,61,60,56,66,66,63,61,61,60,64,67,60,64,64,65,61,56,60,56,62,63,60,58,61,59,63,61,60,61,61,65,60,61,59,64,65,60,63,64,66,68,64,60,57,61,62,63,60,60,62,63,59,60,64,61,58,61,56,63,63,59,65,60,63,61,63,62,68,64,56,58,59,59,62,56,59,59,65,64,64,66,58,59,61,65,62,67,60,61,63,66,60,63,63,61,61,60,62,63,61,62,60,63,59,58,65,72,55,61,64,66,58,60,63,58,66,62,59,59,60,65,64,65,64,57,62,63,65,59,58,62,65,65,62,55,54,66,63,63,63,54,61,65,61,57,60,61,54,60,62,57,61,65,64,60,62,63,61,59,65,59,57,63,65,61,59,60,63,59,67,59,62,66,58,67,57,62,65,61,63,58,66,63,64,59,60,65,60,58,61,65,63,64,63,66,66,61,58,63,61,70,61,60,63,57
9570,FWD,65,57,59,59,64,54,62,61,60,56,66,66,63,61,61,60,64,67,60,64,64,65,61,56,60,56,62,63,60,58,61,59,63,61,60,61,61,65,60,61,59,64,65,60,63,64,66,68,64,60,57,61,62,63,60,60,62,63,59,60,64,61,58,61,56,63,63,59,65,60,63,61,63,62,68,64,56,58,59,59,62,56,59,59,65,64,64,66,58,59,61,65,62,67,60,61,63,66,60,63,63,61,61,60,62,63,61,62,60,63,59,58,65,72,55,61,64,66,58,60,63,58,66,62,59,59,60,65,64,65,64,57,62,63,65,59,58,62,65,65,62,55,54,66,63,63,63,54,61,65,61,57,60,61,54,60,62,57,61,65,64,60,62,63,61,59,65,59,57,63,65,61,59,60,63,59,67,59,62,66,58,67,57,62,65,61,63,58,66,63,64,59,60,65,60,58,61,65,63,64,63,66,66,61,58,63,61,70,61,60,63,57
26237,FWD,72,66,67,66,71,62,68,70,66,64,71,70,68,67,69,67,69,74,69,69,68,70,68,64,68,62,68,69,67,64,67,65,68,68,68,67,68,70,67,69,65,70,69,68,69,70,72,73,71,67,63,67,69,69,68,68,68,71,67,68,71,68,64,68,65,70,68,67,70,66,68,68,67,69,73,71,63,67,67,67,68,63,67,65,74,71,71,73,67,68,67,70,69,72,68,68,68,71,67,68,69,69,69,66,68,68,69,69,65,70,65,64,72,75,61,68,71,71,66,68,68,64,71,69,67,67,67,70,71,71,71,65,67,68,71,67,65,68,70,72,68,63,63,71,70,71,70,63,68,71,68,65,68,67,63,67,69,64,67,70,71,66,69,69,67,67,70,67,66,71,72,67,66,68,69,67,73,67,68,72,66,74,65,68,70,68,70,66,71,70,69,65,67,71,66,66,69,70,70,72,70,71,72,69,66,70,67,76,67,68,69,64
26671,FWD,72,66,67,66,71,62,68,70,66,64,71,70,68,67,69,67,69,74,69,69,68,70,68,64,68,62,68,69,67,64,67,65,68,68,68,67,68,70,67,69,65,70,69,68,69,70,72,73,71,67,63,67,69,69,68,68,68,71,67,68,71,68,64,68,65,70,68,67,70,66,68,68,67,69,73,71,63,67,67,67,68,63,67,65,74,71,71,73,67,68,67,70,69,72,68,68,68,71,67,68,69,69,69,66,68,68,69,69,65,70,65,64,72,75,61,68,71,71,66,68,68,64,71,69,67,67,67,70,71,71,71,65,67,68,71,67,65,68,70,72,68,63,63,71,70,71,70,63,68,71,68,65,68,67,63,67,69,64,67,70,71,66,69,69,67,67,70,67,66,71,72,67,66,68,69,67,73,67,68,72,66,74,65,68,70,68,70,66,71,70,69,65,67,71,66,66,69,70,70,72,70,71,72,69,66,70,67,76,67,68,69,64
