UniqueID,Position,AGF,AIK,AaB,Aberdeen,Ajax,Almere City,Anderlecht,Angers SCO,Antwerp,Arouca,Arsenal,Aston Villa,Atalanta,Athletic Bilbao,Atlanta United,Atlético Madrid,Augsburg,Austin FC,Auxerre,Barcelona,Bayer Leverkusen,Bayern München,Benfica,Blackburn Rovers,Boavista,Bochum,Bologna,Borussia Dortmund,Borussia M_gladbach,Bournemouth,Brentford,Brest,Brighton,Bristol City,Brøndby,Burnley,CF Montréal,Cagliari,Cardiff City,Casa Pia AC,Celta de Vigo,Celtic,Chelsea,Chicago Fire,Cincinnati,Club Brugge,Colorado Rapids,Columbus Crew,Como,Coventry City,Crystal Palace,DC United,Dallas,Deportivo Alavés,Derby County,Djurgården,Eintracht Frankfurt,Elfsborg,Empoli,Espanyol,Estoril,Estrela Amadora,Everton,Famalicão,Farense,Feyenoord,Fiorentina,Fortuna Sittard,Freiburg,Fulham,Genk,Genoa,Getafe,Gil Vicente,Girona,Go Ahead Eagles,Groningen,Halmstad,Hearts,Heerenveen,Heidenheim,Hellas Verona,Heracles,Hoffenheim,Holstein Kiel,Houston Dynamo,Hull City,Häcken,IFK Göteborg,IFK Norrköping,Inter Miami,Internazionale,Ipswich Town,Juventus,Kalmar,København,Las Palmas,Lazio,Le Havre,Lecce,Leeds United,Leganés,Leicester City,Lens,Lille,Liverpool,Los Angeles FC,Los Angeles Galaxy,Luton Town,Lyngby,Mainz 05,Mallorca,Malmö FF,Manchester City,Manchester United,Middlesbrough,Midtjylland,Milan,Millwall,Minnesota United,Monaco,Montpellier,Monza,Moreirense,NAC Breda,NEC,Nantes,Napoli,Nashville SC,New England,New York City,New York RB,Newcastle United,Nice,Nordsjælland,Norwich City,Nottingham Forest,Olympique Lyonnais,Olympique Marseille,Orlando City,Osasuna,Oxford United,PEC Zwolle,PSG,PSV,Parma,Philadelphia Union,Plymouth Argyle,Portland Timbers,Porto,Portsmouth,Preston North End,Queens Park Rangers,RB Leipzig,RKC Waalwijk,Randers,Rangers,Rayo Vallecano,Real Betis,Real Madrid,Real Salt Lake,Real Sociedad,Real Valladolid,Reims,Rennes,Rio Ave,Roma,SJ Earthquakes,Saint-Étienne,Santa Clara,Seattle Sounders,Sevilla,Sheffield United,Sheffield Wednesday,Silkeborg,Sirius,Southampton,Sparta Rotterdam,Sporting Braga,Sporting CP,St_DOT_ Louis City,St_DOT_ Pauli,Stoke City,Strasbourg,Stuttgart,Sunderland,Swansea City,SønderjyskE,Torino,Toronto,Tottenham Hotspur,Toulouse,Twente,Udinese,Union Berlin,Union Saint-Gilloise,Utrecht,Valencia,Vancouver Whitecaps,Venezia,Viborg,Villarreal,Vitória Guimarães,Värnamo,Västerås SK,Watford,Werder Bremen,West Bromwich Albion,West Ham United,Willem II,Wolfsburg,Wolverhampton Wanderers
15358,RB,83,90,86,83,79,81,84,83,85,81,81,82,83,85,84,85,78,84,86,77,80,74,83,88,75,81,82,79,86,88,82,89,84,84,85,84,78,74,83,72,88,73,80,84,82,83,81,80,82,86,86,77,82,76,80,87,80,80,75,81,76,81,83,81,75,82,85,78,81,84,84,75,75,83,80,79,81,78,85,84,79,78,81,85,86,79,81,80,86,84,77,75,85,83,86,84,81,84,81,79,84,82,86,86,83,78,84,72,84,79,83,82,81,80,85,86,80,83,77,76,83,82,79,76,84,88,82,82,82,83,82,78,88,86,76,85,79,83,80,84,77,82,80,73,74,81,80,80,86,81,82,86,81,83,79,82,85,84,86,79,82,86,83,80,86,82,82,79,87,79,83,84,78,81,72,88,77,85,86,81,84,87,81,85,79,85,83,84,82,84,86,83,85,73,78,88,84,76,80,82,84,84,78,85,86,81,85,86,80,84,77,87
15839,RB,84,92,88,85,81,84,85,86,87,83,82,84,84,87,86,87,80,86,88,78,81,74,84,90,78,83,83,79,88,90,84,91,85,86,86,86,80,76,85,73,90,74,80,86,84,85,83,81,84,88,89,79,84,79,83,89,81,83,78,83,78,83,86,84,77,83,86,80,83,86,86,78,77,85,81,81,83,81,87,86,82,81,84,86,88,80,82,81,88,86,78,76,87,84,88,85,83,86,83,81,84,85,88,87,84,79,85,72,87,82,85,85,82,80,87,88,82,84,80,78,84,85,81,78,87,90,84,83,84,85,83,80,90,88,77,86,81,85,81,85,80,84,82,74,75,83,82,82,88,82,85,88,84,85,81,83,86,86,88,80,84,88,85,82,88,84,83,81,89,81,85,86,81,83,73,89,78,87,87,82,86,89,83,87,80,87,85,86,83,86,87,85,86,75,81,90,85,79,81,84,86,86,80,87,88,83,87,88,83,86,79,89
5814,RB,92,93,94,91,94,86,93,90,93,88,92,89,93,91,91,93,87,89,92,91,97,92,95,92,84,87,89,92,90,94,87,92,94,90,96,89,89,82,90,84,93,93,93,90,95,94,93,95,92,94,90,88,90,84,87,96,88,91,82,88,87,89,86,87,82,96,94,85,88,88,95,83,83,90,91,90,90,83,91,93,86,85,86,90,91,91,91,95,93,90,89,89,93,91,90,95,90,92,85,87,97,89,96,92,92,91,94,90,88,86,89,84,97,97,91,95,92,93,84,88,93,87,83,85,89,95,86,92,89,92,93,89,94,93,94,90,85,94,91,94,84,88,86,91,92,93,91,87,93,95,88,90,87,92,84,93,97,90,93,94,94,91,90,88,94,87,90,86,93,91,93,89,84,89,89,94,93,91,94,94,93,94,88,91,93,93,91,91,88,93,96,90,96,83,83,96,95,84,87,89,93,91,92,93,97,90,89,93,86,90,87,90
28067,RB,85,85,87,84,88,79,87,83,86,82,88,85,88,85,84,88,82,82,84,87,92,88,89,85,78,82,84,87,85,89,83,86,90,83,89,84,83,78,83,78,88,88,89,83,89,88,87,89,85,87,85,82,84,79,81,88,83,84,77,81,81,82,81,80,75,90,89,79,83,83,89,78,79,84,87,84,84,76,84,86,81,80,79,84,86,85,84,88,85,82,83,85,87,86,82,88,85,87,80,83,90,82,89,87,87,88,87,85,83,79,83,79,91,93,86,88,86,88,77,82,88,81,78,79,82,88,80,88,82,86,87,83,90,88,89,83,81,89,86,88,79,82,79,87,86,87,85,80,87,90,82,83,80,87,77,86,90,84,87,89,88,86,83,83,89,81,85,80,85,84,86,84,79,82,83,86,88,84,88,89,86,89,82,85,89,86,85,84,83,86,91,85,90,79,78,89,88,79,81,83,86,86,86,85,90,84,83,86,81,83,82,84
28452,RB,82,82,80,78,78,77,82,79,84,84,81,84,81,80,82,83,76,81,82,77,78,72,80,85,73,76,81,76,83,81,78,85,82,80,81,83,82,74,80,73,84,72,78,83,82,82,80,80,81,82,80,77,84,72,76,83,80,77,72,78,76,76,76,78,71,80,84,74,81,81,83,74,75,81,79,78,81,73,80,82,77,75,77,81,85,80,80,79,79,78,80,78,81,82,83,81,82,83,77,76,82,78,82,82,82,77,81,75,77,78,79,78,78,74,83,84,78,83,73,75,81,78,80,75,81,83,78,82,82,83,81,77,84,83,75,83,74,81,80,83,75,81,79,71,74,80,78,77,82,80,80,81,77,81,75,79,81,79,83,78,81,84,80,79,83,78,81,77,80,76,81,82,75,76,77,83,77,81,82,79,78,86,79,83,77,82,81,83,82,82,82,80,83,72,75,80,80,75,82,80,81,80,78,82,84,79,83,83,76,80,78,82
28920,RB,80,81,81,80,77,78,79,79,80,76,79,79,80,80,79,81,76,79,80,75,78,74,80,81,74,78,77,76,80,83,79,82,81,79,80,79,75,74,79,72,82,74,78,79,80,80,79,78,79,81,81,77,79,75,78,81,77,78,73,77,75,78,78,77,72,80,80,76,78,79,81,75,74,79,77,77,78,75,79,79,78,76,78,79,81,75,77,78,80,78,75,74,81,78,80,79,78,81,77,77,80,79,81,81,78,77,80,72,80,77,79,77,79,77,79,81,78,80,76,75,80,77,76,74,79,82,78,78,78,80,79,76,83,81,75,78,76,81,78,81,75,77,76,75,74,78,78,76,80,79,79,80,78,79,75,79,81,79,81,77,79,81,78,78,81,77,77,76,80,78,79,79,76,78,73,80,77,78,80,78,80,83,77,80,77,80,79,78,78,79,82,80,81,73,75,83,81,75,76,78,79,80,78,80,81,78,79,81,77,78,76,80
29322,RB,76,78,78,74,77,70,78,74,77,75,78,76,78,76,76,79,72,74,76,76,81,76,79,78,68,72,75,77,77,80,74,78,80,75,80,76,74,67,74,68,79,75,78,75,79,78,77,78,76,78,76,71,76,69,71,80,75,74,68,72,71,73,72,72,67,79,80,69,74,76,79,69,68,75,77,74,74,67,76,78,71,70,70,76,78,76,75,78,77,74,73,75,78,78,75,79,76,78,72,72,80,73,80,78,78,77,78,74,74,70,74,71,80,82,78,80,75,79,67,72,79,73,70,70,74,80,72,79,74,77,77,73,81,79,77,76,72,79,76,79,69,73,71,74,75,77,75,71,78,79,72,74,71,78,69,76,80,76,79,79,78,78,74,74,80,73,77,71,77,73,77,76,70,72,72,78,76,76,79,79,77,81,73,77,78,77,76,75,75,78,81,76,80,68,69,80,78,69,73,74,78,77,75,77,80,74,76,78,72,75,72,77
30881,RB,86,94,89,86,82,84,87,87,88,85,82,83,84,86,87,87,79,86,90,79,81,74,85,91,78,82,83,80,87,89,82,91,85,87,88,86,82,75,86,75,90,76,80,87,85,86,84,83,86,89,87,80,86,78,83,91,81,84,77,84,78,83,84,84,78,85,86,81,82,85,87,77,77,86,81,82,85,81,88,88,80,80,84,86,90,83,84,83,89,87,80,77,88,85,89,87,83,86,82,80,87,86,89,87,84,79,87,75,85,83,85,84,84,80,87,89,83,85,80,79,84,84,80,79,88,91,84,84,85,86,85,81,89,88,79,88,80,85,81,87,79,85,83,74,77,85,83,83,89,83,85,89,84,85,82,85,87,86,88,80,85,88,87,82,88,85,84,82,91,83,86,86,79,84,76,91,80,88,88,84,87,90,84,87,80,88,86,88,83,87,87,85,88,74,80,90,86,78,83,86,88,85,81,89,90,84,86,89,81,87,79,89
37738,RB,95,100,100,96,95,92,98,97,99,94,93,92,96,97,96,98,89,94,100,93,98,90,98,100,87,93,94,94,97,100,92,100,98,97,100,95,91,83,96,84,100,91,94,96,97,98,95,96,96,100,98,89,94,87,92,100,91,94,86,93,88,94,94,93,87,98,99,90,91,95,99,85,85,95,94,93,95,89,99,99,88,89,92,97,97,94,95,96,100,97,90,89,99,96,98,100,93,95,91,90,100,95,100,98,96,92,98,88,94,90,95,92,99,99,98,100,94,96,87,90,96,94,86,88,96,100,92,96,93,96,95,92,100,99,94,98,91,96,93,97,87,94,91,88,91,96,94,92,100,97,93,99,92,96,90,97,100,97,99,95,97,98,97,92,100,94,95,90,100,94,98,96,87,93,87,100,93,99,100,97,99,99,93,97,95,98,97,97,92,98,100,95,100,84,88,100,98,86,91,95,99,96,92,100,100,94,95,99,91,97,89,99
32310,RB,83,84,84,83,81,81,82,83,83,78,81,80,81,82,82,82,78,82,83,77,80,77,82,84,77,79,79,78,81,84,80,83,82,82,83,80,78,76,82,75,83,78,79,82,83,83,83,82,82,84,82,80,81,77,81,85,78,82,75,81,78,81,79,79,74,83,81,79,79,80,84,76,76,81,79,81,81,79,82,82,80,77,81,80,84,79,80,82,83,82,78,76,84,80,83,82,79,82,79,79,83,82,84,82,80,78,83,76,81,80,80,78,83,79,79,84,82,81,79,78,82,79,77,76,82,85,79,80,81,83,82,79,84,83,79,81,77,83,79,84,77,80,79,78,78,82,81,79,83,82,82,83,81,81,78,82,84,80,82,79,82,82,82,80,83,79,79,79,84,82,82,80,78,81,76,83,80,81,83,81,83,86,80,82,79,83,82,81,79,82,83,81,84,75,77,85,84,77,79,82,83,82,81,83,85,81,81,84,78,81,78,81
