Team,UniqueID,Control_Possession,Gegenpressing,Direct_Play,Defensive_Counter_Attack,Tiki_Taka,Counter_Attack,Wing_Play,Low_Block
AaB,0,18.21,14.36,15.7,2.56,9.1,9.98,14.13,15.96
Aberdeen,1,15.31,13.69,14.9,3.43,8.51,6.96,18.81,18.41
AGF,2,21.55,11.45,13.46,10.36,12.08,6.87,13.34,10.89
AIK,3,18.57,17.88,14.2,0,11.76,4.15,19.7,13.74
Ajax,4,12.07,14.66,11.42,8.56,17.5,13.27,11.56,10.96
Almere City,5,13.8,15.47,16.04,1.95,7.89,2.57,18.85,23.44
Anderlecht,6,19.05,15.87,10.79,7.65,14.96,7.27,11.48,12.92
Angers SCO,7,19.2,12.91,16.52,4.64,8.91,6.15,17.51,14.16
Antwerp,8,17.69,16.41,8.62,6.45,17.89,4.69,12.92,15.32
Arouca,9,24.86,12.33,15.48,7.43,15.4,6.17,5.69,12.64
Arsenal,10,18.06,11.63,9.78,12.81,14.28,12.84,10.74,9.86
Aston Villa,11,24.03,10.93,8.67,16.29,14.01,6.76,10.07,9.24
Atalanta,12,18.36,13.93,12.26,7.12,12.4,12.7,10.18,13.06
Athletic Bilbao,13,18.34,15.27,13.3,4.9,9.94,7.04,17.12,14.08
Atlanta United,14,22.19,11.99,15.29,7.45,12.55,6.14,12.22,12.17
Atlético Madrid,15,19.31,11.34,13.74,4.66,16.09,11.52,12.02,11.32
Augsburg,16,14.94,13.65,17.05,10.41,8.7,5.92,15.74,13.58
Austin FC,17,23.08,8.03,15.46,8.69,11.42,6.37,17.26,9.69
Auxerre,18,20.38,14.43,12.23,4.31,13.87,5.44,16.06,13.28
AVS ,19,14.83,16.53,16.89,6.32,7.81,4.62,17.62,15.38
AZ,20,20.48,15.24,11.56,4.41,15.39,6.54,11.84,14.53
Barcelona,21,10.66,14.28,12.96,9.57,18.55,14.38,8.97,10.64
Bayer Leverkusen,22,8.98,15.46,10.31,10.07,16.55,20.74,8.51,9.38
Bayern München,23,5.25,15.72,11.93,12.57,11.85,18.95,12.98,10.75
Beerschot-Wilrijk,24,19.24,17.33,12.54,2.21,12.52,8.9,13.4,13.86
Benfica,25,15.67,15.29,12.03,5.59,13.76,14.24,10.4,13.01
Blackburn Rovers,26,23.8,13.23,13.97,2.48,13.63,6.12,10.9,15.88
Boavista,27,13.76,12.85,21.48,7.25,6.52,5.56,15.62,16.95
Bochum,28,12.32,16.56,14.98,2.91,8.91,5.28,17.9,21.14
Bologna,29,17.41,13.01,12.81,6.67,18.08,7.45,11.57,13.01
Borussia Dortmund,30,9.18,16.15,13.23,8.08,17.49,13.31,10.99,11.57
Borussia M_gladbach,31,22.68,10,15.54,4.35,14.9,8.41,12.3,11.84
Bournemouth,32,15.29,17.99,12.61,1.49,8.83,9.75,17.67,16.38
Brentford,33,17.04,12.34,18.41,5.05,8.66,7.28,15.51,15.71
Brest,34,21.68,16.43,10.71,2.69,13.17,4.5,16.12,14.68
Brighton,35,16.76,14.12,11.36,7.41,16.84,11.05,11.24,11.21
Bristol City,36,18.32,13.56,14.08,4.64,10.01,5.31,17.99,16.1
Brommapojkarna,37,22.53,13.71,12.49,5.15,15.74,5.77,10.17,14.43
Brøndby,38,16,15.09,13.1,4.42,17.74,11.47,10.5,11.69
Burnley,39,22.13,13.35,14.76,6.83,11.79,5.16,12.35,13.63
Cagliari,40,14.07,11.12,16.46,13.25,7.04,3.54,18.31,16.21
Cardiff City,41,19.77,13.83,16.18,5.25,9.47,6.15,13.51,15.83
Casa Pia AC,42,15.75,13.47,19.54,12.92,7.82,5.63,10.01,14.86
Celta de Vigo,43,21.13,14.54,13.8,2.98,12.45,8.86,12.57,13.67
Celtic,44,5.2,14.05,10.45,11.44,14.69,18.36,11.64,14.16
Cercle Brugge,45,11.83,13,14.96,7.01,8.36,5.72,19.93,19.2
CF Montréal,46,20.93,9.74,11.94,11.01,19.39,7.76,6.48,12.75
Charleroi,47,18.65,15.16,11.81,2.53,11.45,4.83,16.98,18.6
Charlotte FC,48,20.18,6.62,12.65,16.58,10.74,5.78,17.15,10.29
Chelsea,49,12.01,15.18,11.58,9.81,16.52,14.62,9.58,10.69
Chicago Fire,50,22.92,12.14,14.11,7.08,12.4,5.36,10.98,15.01
Cincinnati,51,18.13,15.51,10.88,9.55,13.2,10.82,9.1,12.8
Club Brugge,52,17.65,14.05,9.24,8.24,16.27,9.54,12.52,12.49
Colorado Rapids,53,18.53,12.2,12.38,13.85,9.73,8.62,11.55,13.14
Columbus Crew,54,14.53,14.8,8.82,14.3,15.95,12.05,10.58,8.97
Como,55,19.46,14.78,12.25,9.3,12.12,5.88,14.36,11.86
Coventry City,56,19.34,14.44,13.81,3.53,12.79,9.28,14.07,12.73
Crystal Palace,57,17.62,15.97,17.77,1.21,9.24,7.09,15.67,15.43
Dallas,58,24.8,9.74,14.64,9.46,14.16,8.53,7.53,11.14
DC United,59,13.85,14.4,13.08,9.79,8.03,6.04,14.91,19.89
Dender,60,14.36,16.43,15.15,0.65,9.45,4.03,21.13,18.81
Deportivo Alavés,61,12.02,14.12,18.13,8.34,5.92,4.06,20.77,16.64
Derby County,62,14.16,12.51,16.14,4.93,7.72,5.46,20.08,18.99
Djurgården,63,18.78,17.53,10.58,4.81,12.62,7.74,13.81,14.13
Dundee United,64,13.3,14.27,14.13,5.67,9.84,7.15,13.24,22.4
Dundee,65,13.85,13.62,16.04,1.94,7.57,5.25,19.83,21.91
Eintracht Frankfurt,66,20.67,10.73,16.22,8.87,13.78,8.31,9.46,11.95
Elfsborg,67,14.48,13.38,16.44,8.11,7.92,6.62,16.33,16.73
Empoli,68,13.17,13.94,22.57,6.25,6.39,5.08,16.86,15.74
Espanyol,69,18.67,13.05,16.57,5.72,9.31,4.25,16.84,15.59
Estoril,70,17.86,12.18,17.19,11.71,8.12,6.42,12.59,13.94
Estrela Amadora,71,13.88,15.19,17.88,5.92,6.75,5.54,19.24,15.59
Everton,72,13.76,16.11,18.22,2.05,8,3.45,21.36,17.06
Famalicão,73,18.01,15.78,15.34,6.34,9.11,2.63,18.57,14.22
Farense,74,13.25,15.17,25.1,3.36,6.58,4.81,14.78,16.94
Feyenoord,75,14.97,16.16,10.1,8.02,14.28,13.92,10.47,12.08
Fiorentina,76,20.25,16.66,8.39,10.71,15.41,7.35,11.07,10.15
Fortuna Sittard,77,13.06,14.63,17.98,5.81,6.48,3.77,18.81,19.47
Freiburg,78,21.09,10.84,12.21,10.51,12.51,5.29,14.22,13.33
Fulham,79,21.69,11.66,17.49,4.28,13.2,7.79,11.46,12.42
GAIS,80,19.37,16.06,16.1,2.23,10.15,6.55,15.44,14.09
Genk,81,17.54,15.25,8.65,7.7,15.9,8.51,12.34,14.1
Genoa,82,16.13,11.34,20.21,8.47,7.51,5.58,15.43,15.34
Gent,83,19.54,15.26,10.29,6.09,13.85,7.39,12.16,15.43
Getafe,84,14.02,16.94,12.62,12.33,7.33,1.44,16.04,19.27
Gil Vicente,85,20.52,12.96,15.62,7.33,9.91,5.65,14.82,13.19
Girona,86,14.62,12.33,9.77,13.3,17,8.34,14.57,10.07
Go Ahead Eagles,87,15.7,16.38,13.23,10.06,9.38,6.57,14.15,14.52
Groningen,88,16.73,17.86,12.09,6.79,10.53,4.76,11.23,20.01
Halmstad,89,14.43,12.43,21.87,3.59,6.87,3.36,19.37,18.08
Hearts,90,18.61,14.33,14.22,3.39,10.9,6.72,15.82,16.01
Heerenveen,91,19.07,16.18,13.42,4.98,13.06,8.13,10.9,14.26
Heidenheim,92,15.34,10.92,16.59,6.6,7.97,6.84,18.24,17.52
Hellas Verona,93,13.93,16.86,19.62,5.31,6.73,4.23,14.42,18.91
Heracles,94,16.19,12.28,17.75,4.34,8.46,3.45,19.91,17.64
Hibernian,95,13.83,14.25,14.82,12.1,7.85,5.03,17.99,14.14
Hoffenheim,96,19.28,14.89,14.88,3.51,12.42,6.85,12.84,15.33
Holstein Kiel,97,22.32,11.93,17.93,5.87,11.63,6.75,10.87,12.7
Houston Dynamo,98,16.86,13.03,11.26,11.79,20.31,7.92,8.95,9.89
Hull City,99,17.45,12.61,12.84,9.57,17.53,6.33,13.06,10.6
Häcken,100,13.95,15.67,10.94,10.4,15.33,10.76,11.58,11.37
IFK Göteborg,101,18.09,16.07,15.05,2.25,9.41,7.54,15.38,16.2
IFK Norrköping,102,18.06,14.12,17.66,3.08,8.49,5.91,18.18,14.5
Inter Miami,103,15.68,11.59,11.04,9.95,20.38,7.19,8.64,15.55
Internazionale,104,13.74,9.34,11.97,14.04,19.6,14.73,7.35,9.23
Ipswich Town,105,19.4,14.56,14.25,5.63,10.83,8.67,13.95,12.7
Juventus,106,19.67,11.34,11.59,10.36,17.56,8.03,13.22,8.22
Kalmar,107,22.67,10.3,15.06,4.09,14.87,5.17,14.32,13.52
Kilmarnock,108,12.97,14.29,14,5.24,7.13,1.85,22.4,22.12
Kortrijk,109,13.25,15.3,15.91,2.17,7.23,3.17,25.66,17.3
København,110,15.44,15.45,12.2,5.61,17.73,11.45,9.73,12.4
Las Palmas,111,20.22,11.42,12.98,9.35,16.17,7.8,9.63,12.43
Lazio,112,21.93,10.49,13.61,8.79,13.33,9.17,12.68,10
Le Havre,113,18.04,11.42,20.16,4.19,8.53,6.46,15.39,15.8
Lecce,114,13.76,15.45,16.8,9.11,7.03,5.9,17.4,14.55
Leeds United,115,13.99,16.74,8.18,7.94,18.39,11.29,10.87,12.61
Leganés,116,17.09,13.46,18,5.8,8.16,5.03,17.75,14.71
Leicester City,117,17.66,13.63,12.99,3.6,16.8,11.09,12.71,11.52
Lens,118,19.75,13.64,14.11,4.46,12.37,8.51,12.01,15.16
Lille,119,19.12,14.01,12.75,7.72,16.41,10.01,10.01,9.99
Liverpool,120,9.69,14.47,12.3,8.68,16.34,14.52,10.84,13.16
Los Angeles FC,121,19.31,13.7,15.62,5.81,10.42,12.3,10.8,12.04
Los Angeles Galaxy,122,11.06,12.82,12.3,15.98,17.22,16.37,5.01,9.24
Luton Town,123,13.72,14.68,16,2.88,7.11,5.62,21.82,18.18
Lyngby,124,17.24,12.89,13.38,8.93,9.56,1.54,19.67,16.79
Mainz 05,125,16.81,15.75,13.38,4.78,9.71,4.83,16.25,18.48
Mallorca,126,17.01,14.93,15.68,4.14,9.08,1.09,19.65,18.42
Malmö FF,127,11.12,15.16,10,10.04,15.23,17.33,9.97,11.15
Manchester City,128,7.52,16.5,8.8,15.25,12.07,22.03,14.04,3.77
Manchester United,129,22.79,14.74,16.38,2.98,14.13,10.21,7.09,11.68
Mechelen,130,22.05,10.94,11.65,5.25,17.33,6.5,12.54,13.73
Middlesbrough,131,20.68,12.4,12.83,5.05,16.29,10.12,10.63,12.01
Midtjylland,132,16.33,14.55,14.59,9.93,8.51,7.89,13.35,14.86
Milan,133,19.47,11.76,8.8,11.25,17.51,10.45,12.1,8.68
Millwall,134,12.54,12.66,18.82,3.46,6.2,4.59,20.99,20.74
Minnesota United,135,14.8,13.95,19.53,8.51,7.29,9.41,10.84,15.67
Mjällby,136,20.03,11.49,14.99,6.5,11.76,8.13,13.81,13.28
Monaco,137,17.38,13.81,13.26,6.79,12.38,12.78,10.19,13.42
Montpellier,138,18.34,14.95,17.82,3.82,8.92,4.12,16.12,15.91
Monza,139,23.16,7.75,12.88,13.23,13.6,3.1,15.17,11.11
Moreirense,140,16.92,13.19,20.52,9.19,7.73,5.08,13.43,13.94
Motherwell,141,11.12,14.43,17.39,4.34,7.1,4.23,22.48,18.9
NAC Breda,142,19.77,12.73,14.38,3.39,10.68,4.42,17.78,16.85
Nacional,143,12.69,13.07,20.22,8.8,6.68,6.23,17.68,14.63
Nantes,144,19.2,10.92,20.47,3.62,9.12,6.73,16.16,13.78
Napoli,145,18.99,14.02,10.64,10.55,17.26,8.79,10.76,8.97
Nashville SC,146,22.3,10.44,13.06,10.72,12.53,4.23,14.53,12.19
NEC,147,19.32,15.74,13.52,2.09,11.74,8.89,15.41,13.29
New England,148,20.84,11.02,13.28,9.36,13,7.13,12.54,12.82
New York City,149,19.13,14.51,11.98,9.63,12.17,8.34,10.9,13.35
New York RB,150,16.1,15.82,18.85,6.32,8.57,9,10.21,15.13
Newcastle United,151,21.17,13.13,13.68,5.08,10.64,10.53,13.67,12.1
Nice,152,21,14.56,10.99,6.82,11.45,7.96,14.76,12.46
Nordsjælland,153,7.03,15.89,11.62,10.77,15.48,17.13,11.23,10.83
Norwich City,154,23.13,10.19,15.64,4.12,16.72,7.97,10.46,11.77
Nottingham Forest,155,14.86,12.58,22.9,2.56,7.16,9.3,14.84,15.79
OH Leuven,156,16.12,13.89,18.69,7.29,7.73,4.24,16.66,15.39
Olympique Lyonnais,157,17.43,13.73,12.8,6.64,12.43,12.29,12.84,11.85
Olympique Marseille,158,17.29,12.49,13.38,10.68,15.55,8.86,10.17,11.57
Orlando City,159,20.74,11.79,12.12,10.25,14.05,10.06,9.8,11.18
Osasuna,160,14.26,14.23,14.07,8.91,8.16,3.02,19.17,18.18
Oxford United,161,21.13,14.93,16.14,4.36,10.17,5.2,10.51,17.57
Parma,162,19.52,15.49,14.94,11.17,9.43,9.29,9.78,10.38
PEC Zwolle,163,20.98,12.98,19.4,3.15,10.79,5.43,10.28,16.99
Philadelphia Union,164,16.2,15.35,14.57,8.34,9.36,7.97,13.55,14.66
Plymouth Argyle,165,17.19,14.71,21.15,2.77,8.19,5.93,12.06,18
Portland Timbers,166,19.34,15.93,12.13,5.29,11.84,7.29,14.81,13.37
Porto,167,15.97,13.81,10.38,11.39,14.75,15.11,9.39,9.2
Portsmouth,168,16.49,12.74,11.98,6.03,10.87,3.61,19.29,18.99
Preston North End,169,17.68,15.83,13.68,2.18,9.28,3.61,18.36,19.38
PSG,170,5.16,13.62,13.21,13.91,9.74,19.48,12.95,11.93
PSV,171,6.83,14.27,12.18,10.65,16.14,16.36,10.01,13.57
Queens Park Rangers,172,17.23,12.1,17.23,4.55,8.54,5.32,19.24,15.79
Randers,173,16.26,15.79,16.98,5.86,9.44,9.15,12.11,14.4
Rangers,174,15.52,14.89,11.56,5.51,13.18,15.69,11.19,12.46
Rayo Vallecano,175,16.89,16.06,16.13,2.78,10.01,6.27,16.98,14.88
RB Leipzig,176,19.51,12.64,14.65,6.07,15.19,10.59,9.93,11.42
Real Betis,177,19.95,15.94,12.61,5.14,12.24,7.59,14.14,12.38
Real Madrid,178,12.29,15.85,11.24,11.54,16.06,15.67,8.9,8.45
Real Salt Lake,179,17.51,14.9,12.2,8.97,13.96,8.9,11.98,11.58
Real Sociedad,180,21.87,12.18,12.51,4.87,13.63,6.98,14.59,13.37
Real Valladolid,181,19.58,13.95,14.07,6.68,10.14,4.19,16.7,14.7
Reims,182,18.87,13,15.07,8.65,9.9,6.2,15.33,12.98
Rennes,183,19.99,15.5,13.86,5.4,11.63,10.2,11.14,12.29
Rio Ave,184,20.11,13.01,20.93,3.96,9.31,6.35,12.81,13.52
RKC Waalwijk,185,14.75,13.93,21.74,2.01,8.16,4.15,15.62,19.64
Roma,186,19.31,11.42,12.95,9.03,18.21,7.59,11.89,9.62
Ross County,187,13.36,15.35,18.3,3.72,7.45,4.04,16.74,21.04
Saint-Étienne,188,18.86,17.74,15.44,1.29,9.95,6.4,16.43,13.89
Santa Clara,189,13.22,14.92,17.33,8.89,6.61,6.91,15.88,16.24
Seattle Sounders,190,18.68,15.08,13.19,8.28,13.59,7.71,13.09,10.38
Sevilla,191,21.26,13.13,15.5,6.11,11.07,5.68,14.06,13.19
Sheffield United,192,16.37,10.74,21.1,4.7,7.53,7.76,14.8,17.01
Sheffield Wednesday,193,14.52,13.79,17.36,5.32,7.11,5.64,19.31,16.94
Silkeborg,194,13.53,9.58,10.58,17.25,19.22,10.48,6.42,12.94
Sint-Truiden,195,19.52,14.14,11.54,7.39,19.39,3.62,12.01,12.4
Sirius,196,19.95,16.75,11.33,3.38,16.81,5.41,13.13,13.23
SJ Earthquakes,197,19.42,11.33,19.37,5.3,9.14,7.13,12.89,15.41
Southampton,198,8.88,14.4,10.01,14.08,15.6,11.7,14.42,10.91
Sparta Rotterdam,199,19.27,17.36,14.21,4.45,12.24,4.39,13.74,14.34
Sporting Braga,200,18.86,14.92,11.85,5.52,15.35,8.92,11.81,12.75
Sporting CP,201,14.32,14.68,11.52,9.38,16.82,13.28,11.63,8.36
St. Johnstone,202,15.66,15.31,17.82,3.9,8.75,2.79,14.7,21.06
St. Louis City ,203,14.2,15.93,18.77,2.55,7.75,9.82,14.79,16.2
St. Mirren,204,12.18,15.4,16.24,5.08,6.77,2.25,21.92,20.15
St. Pauli,205,19.26,13.21,11.94,7.78,17.33,6.92,11.78,11.78
Standard Liège,206,18.19,13.75,14.94,5.48,8.95,2.72,17.33,18.64
Stoke City,207,19.42,14.32,17.85,4.96,9.77,6.01,11.72,15.96
Strasbourg,208,22.36,12.45,15.02,6.13,11.56,7.43,12.05,12.99
Stuttgart,209,8.7,16.48,12.05,10.73,16.38,14.65,10.47,10.54
Sunderland,210,20.54,15.91,12.02,6.96,10.56,6.55,13.84,13.62
Swansea City,211,19.13,12.17,12.68,7.45,15.32,6.21,15.4,11.64
SønderjyskE,212,21.33,15.85,11.79,5.9,14.8,4.49,10.63,15.2
Torino,213,23.1,10.07,13.43,14.21,13.13,6.25,11.19,8.62
Toronto,214,20.46,14.16,12.4,7.65,14.65,7.23,12.96,10.5
Tottenham Hotspur,215,17.34,14.58,9.4,6.86,15.48,12.56,13.22,10.57
Toulouse,216,19.02,13.9,14.05,5.22,9.33,7.26,14.33,16.88
Twente,217,18.19,15.53,10.66,5.77,12.79,10.36,11.1,15.58
Udinese,218,13.22,12.26,20.66,13.64,6.3,6.27,16.01,11.66
Union Berlin,219,14.94,12.72,19.36,5.89,8.63,3.14,17.98,17.34
Union Saint-Gilloise,220,14.7,16.37,15.38,0.89,9.4,11.65,14.45,17.16
Utrecht,221,15.3,14.47,15.35,5.68,9.08,10.85,13.11,16.16
Valencia,222,16.34,12.26,15.03,11.12,7.9,3.44,18.6,15.32
Vancouver Whitecaps,223,23.88,8.26,13.81,12.05,16.87,6.39,8.52,10.22
Vejle,224,14.63,15.37,17.49,5.45,7.38,2.33,17.12,20.24
Venezia,225,20.5,11.24,15.78,7.44,10.08,6.22,16.17,12.56
Viborg,226,19.21,14.04,14.25,6.54,11.44,7.81,15.25,11.47
Villarreal,227,19.98,10.79,15.79,6.99,10.51,9.45,15.43,11.04
Vitória Guimarães,228,15.33,13.71,15.4,12.47,9.13,9.72,12.56,11.68
Värnamo,229,19.97,15.37,12.88,5.26,11.41,6.52,15.5,13.09
Västerås SK,230,18.24,18.36,10.09,5.3,13.6,9.25,10.03,15.14
Watford,231,18.76,14.25,15.07,8.77,9.31,5.53,15.05,13.27
Werder Bremen,232,21.88,10.75,15.12,5.29,14.33,6.14,13.72,12.77
West Bromwich Albion,233,22.77,10.2,10.23,12.06,13.89,6.04,17.3,7.5
West Ham United,234,15.99,13.23,18.54,5.5,7.43,5.86,18.55,14.9
Westerlo,235,14.06,16.32,14.57,6.79,7.74,8,17.04,15.47
Willem II,236,19.45,13.92,15.67,4.61,10.84,4.98,16.51,14.03
Wolfsburg,237,18.48,11.35,16.31,11.9,9.79,6.48,11.64,14.05
Wolverhampton Wanderers,238,21.86,13.34,17.12,1.7,10.84,6.99,13.87,14.27
