UniqueID,Wide_Centre-Back_(LCB),No_Nonsense_Centre_Back,Ball_Playing_Defender,Wide_Centre_Back_(RCB),Libero
35693,10.37782209,22.62225165,42.46138597,15.28457766,9.253962627
35349,14.64479293,15.18881454,34.95299105,12.78244803,22.43095345
34512,20.6195781,25.04446074,10.6291057,20.97331795,22.73353751
19547,18.44631939,25.18409926,10.83554594,26.40619635,19.12783906
34305,22.02012008,24.80678968,10.97657145,23.66628509,18.5302337
25856,21.18964706,26.73532848,11.26743022,23.92344505,16.88414918
25950,20.1680096,25.66229791,11.58435765,26.93992673,15.64540812
34097,15.76327563,25.64842298,11.68524509,24.08495031,22.81810598
25868,23.33822749,25.76460328,11.99852356,21.71201149,17.18663418
24729,18.86566392,26.42506905,12.00801357,26.06925662,16.63199684
16669,19.18281916,24.77118278,12.07399172,25.68358201,18.28842433
2420,21.20842645,23.92123395,12.18444388,22.80946517,19.87643055
34300,18.58245125,25.26772117,12.24747994,22.94687116,20.95547648
34537,18.75465385,24.50590993,12.26865275,21.82928586,22.64149761
33280,22.63113789,23.92229084,12.28142537,19.49015802,21.67498787
34192,21.9856148,23.41190704,12.30821561,18.67578678,23.61847577
34775,21.49273597,27.09254552,12.31035278,20.46057248,18.64379325
33658,18.31990665,26.36799833,12.31441143,21.8047755,21.19290809
34751,22.14911536,22.73845722,12.34243711,26.60866156,16.16132876
34612,22.13481823,21.65577614,12.35621502,20.830801,23.02238962
34614,22.86749545,21.18780464,12.37777103,22.42092634,21.14600254
34191,19.1520787,22.87147841,12.39948156,22.38517906,23.19178226
33348,16.88510243,27.1743009,12.40983932,23.9231097,19.60764765
38543,19.43917929,26.36541724,12.45711017,23.93716895,17.80112435
34154,18.20868815,25.01014105,12.47302499,21.6906001,22.61754571
2458,22.96459331,23.46608493,12.48107063,19.06059591,22.02765522
7861,22.80479485,22.42891204,12.4935317,22.20108094,20.07168047
16278,19.57925192,22.70777428,12.53137028,24.97623986,20.20536366
16423,19.81327536,23.2970199,12.54071414,22.36826131,21.9807293
33128,18.64150261,26.6071278,12.54871054,22.61397355,19.5886855
2118,22.35124745,23.07632994,12.55680501,19.15405468,22.86156293
16097,23.22565299,22.95596427,12.60420842,23.00662998,18.20754434
25129,21.09539961,21.70380711,12.60524499,25.51768632,19.07786197
25804,18.09406,23.72301128,12.61250396,24.74309384,20.82733093
2002,22.11113349,23.95852285,12.61887376,24.30689726,17.00457264
34253,22.3764789,25.07408031,12.6269325,25.72153035,14.20097794
3182,19.72814009,23.06370955,12.68969303,23.90238152,20.61607581
33214,19.12345662,27.22661124,12.78945219,23.54804211,17.31243784
764,11.4681931,26.30376188,34.58533581,15.90292771,11.73978149
10470,22.7507529,25.61726633,12.81242365,20.03259741,18.78695971
25811,21.12862851,20.62437894,12.86570311,22.06130748,23.31998196
25905,19.39923637,24.75121527,12.87514015,21.55935751,21.4150507
34062,18.51112964,25.21919864,12.87547911,21.86500553,21.52918708
34207,23.11715022,22.07583131,12.88091019,19.12723925,22.79886904
3299,20.53680973,23.37072738,12.91230873,25.7917826,17.38837157
296,11.3926664,22.69323445,33.58829844,13.15696099,19.16883972
3739,23.51835616,17.99795736,12.9400599,23.24380175,22.29982483
2602,18.55894037,23.69730473,12.94213017,20.767916,24.03370873
24426,23.50957433,23.45645375,12.94716263,23.52737636,16.55943292
33336,16.83637045,28.23283816,12.95701279,17.9701908,24.00358779
17115,21.33694957,22.20717139,12.97338625,20.13801087,23.34448192
17490,21.33694957,22.20717139,12.97338625,20.13801087,23.34448192
21251,22.55261544,21.17482565,12.9809094,23.19615596,20.09549354
25820,20.1982022,22.28225547,12.98278398,22.53988628,21.99687206
25841,21.19532222,24.2391568,13.00552495,17.85293772,23.70705831
2079,21.32894227,24.49959906,13.02187666,21.69483112,19.45475089
33281,20.43631978,23.51013293,13.02455765,21.65402053,21.3749691
25253,23.64607754,25.89510133,13.02854381,26.62634476,10.80393256
2774,18.3457845,23.26658233,13.03414732,24.19930442,21.15418143
24846,18.24231076,25.3255632,13.04465926,23.11866233,20.26880445
25207,18.24231076,25.3255632,13.04465926,23.11866233,20.26880445
34595,20.38251285,24.71685877,13.05475549,19.09068245,22.75519045
33061,21.40980792,22.8095091,13.07730637,18.89867695,23.80469966
39563,23.04419078,23.16373143,13.09096491,20.54150995,20.15960293
25131,19.33389422,22.28305769,13.09465499,22.27469959,23.01369351
33085,21.05789417,25.21473158,13.10994983,22.16115998,18.45626443
12012,17.38674038,27.18940373,13.11604237,25.08799241,17.2198211
12454,17.38674038,27.18940373,13.11604237,25.08799241,17.2198211
25807,19.28459774,23.73228459,13.12281479,21.8739231,21.98637978
24705,21.37831943,25.90984588,13.12742932,19.80261596,19.78178941
22004,22.53262442,24.72186511,13.18166098,24.03558069,15.5282688
19193,17.60107644,28.61635858,13.19156127,18.50748341,22.08352031
19536,17.72068678,27.78873251,13.19356829,21.60419007,19.69282235
33734,18.01359248,22.57620401,13.21742763,22.92433538,23.2684405
25874,19.07479756,23.85934554,13.223104,19.44820184,24.39455106
34743,17.82699478,25.14186657,13.22736807,19.39616405,24.40760652
25565,19.32992457,24.09045813,13.24743666,22.21650826,21.11567238
10538,21.15165917,25.79979563,13.24791138,22.20489101,17.59574281
34008,20.82425413,25.20912665,13.26048401,22.34253329,18.36360192
24785,19.17253199,28.36593315,13.26430999,24.74837276,14.44885211
33356,17.63672405,29.91331738,13.26535836,23.12317849,16.06142172
10542,19.41156041,24.72310972,13.2702041,17.65239848,24.94272729
10263,18.31367082,23.7281438,13.27842307,23.60429547,21.07546685
33284,23.1823953,22.41630754,13.28508957,19.33604787,21.78015973
34681,15.6291786,33.10110034,13.28769543,21.08538417,16.89664147
25906,18.94113951,24.01295081,13.29023077,17.85764402,25.8980349
10588,23.12488838,23.54627343,13.29255421,19.69671753,20.33956646
34721,19.95755173,24.55435108,13.30597224,18.43807547,23.74404948
2049,20.22352203,25.00031062,13.30779702,24.88786403,16.5805063
25989,19.05963853,25.91538059,13.30806547,17.79185564,23.92505978
39720,18.21339058,37.70708877,13.31468842,21.85019258,8.914639656
25896,21.30238728,24.97962651,13.37206447,21.16425619,19.18166556
24903,24.07216204,26.26369341,13.37363478,24.8391227,11.45138707
38091,18.98287058,26.28441955,13.39992016,23.01907658,18.31371314
33191,18.91792133,26.54767162,13.40797536,19.14603576,21.98039593
2787,19.59271162,23.7096922,17.98228113,21.54136112,17.17395393
34091,21.97435947,23.12446608,13.42412068,19.47155111,22.00550265
24845,22.18044933,20.52252834,13.4274671,22.02181508,21.84774015
25206,22.18044933,20.52252834,13.4274671,22.02181508,21.84774015
