UniqueID,Club,Player,Age,Nationality,Position,Short_Position,Market_Value,Dealing_Club,Dealing_Country,Fee,Movement,Window,League_Name,Year,is_loan,loan_status
81,Genk,Benjamin Nygren,17,Sweden,Second Striker,FWD,1500000,IFK Göteborg,Sweden,3700000,arrival,Summer,jupiler-pro-league,2019,FALSE,NA
109,Kortrijk,Isaak Davies,21,Wales,Second Striker,FWD,800000,Cardiff City,England,0,arrival,Summer,jupiler-pro-league,2023,TRUE,Loan transfer
235,Westerlo,Jordy Mathei,27,Belgium,Second Striker,FWD,0,KFC Houtvenne,Belgium,0,arrival,Summer,jupiler-pro-league,2022,FALSE,end of loan
195,Sint-Truiden,Cong Phuong Nguyen,24,Vietnam,Second Striker,FWD,250000,Hoang Anh Gia Lai FC,Vietnam,0,arrival,Summer,jupiler-pro-league,2019,TRUE,Loan transfer
81,Genk,Benjamin Nygren,19,Sweden,Second Striker,FWD,1500000,Heerenveen,Netherlands,0,departure,Summer,jupiler-pro-league,2020,TRUE,Loan transfer
235,Westerlo,Jordy Mathei,27,Belgium,Second Striker,FWD,0,Bocholt VV,Belgium,0,departure,Summer,jupiler-pro-league,2022,FALSE,free transfer
47,Charleroi,Jordan Remacle,31,Belgium,Striker,FWD,0,Without ClubWithout Club,0,0,departure,Summer,jupiler-pro-league,2018,FALSE,NA
60,Dender,Glodi Mbuyi-Mbayo,22,Belgium,Striker,FWD,0,KVV Thes Sport,Belgium,0,departure,Summer,proximus-league,2022,FALSE,free transfer
130,Mechelen,Denzel Jubitana,19,"Belgium, Suriname",Second Striker,FWD,500000,KVRS Waasland - SK Beveren,Belgium,0,departure,Summer,proximus-league,2018,FALSE,free transfer
81,Genk,Benjamin Nygren,20,Sweden,Second Striker,FWD,1500000,Heerenveen,Netherlands,0,arrival,Winter,jupiler-pro-league,2021,FALSE,end of loan
81,Genk,Benjamin Nygren,20,Sweden,Second Striker,FWD,1500000,Nordsjælland,Denmark,600000,departure,Winter,jupiler-pro-league,2021,FALSE,NA
195,Sint-Truiden,Cong Phuong Nguyen,24,Vietnam,Second Striker,FWD,250000,Hoang Anh Gia Lai FC,Vietnam,0,departure,Winter,jupiler-pro-league,2019,FALSE,end of loan
235,Westerlo,Jordy Mathei,26,Belgium,Second Striker,FWD,0,KFC Dessel Sport,Belgium,0,arrival,Winter,proximus-league,2021,FALSE,free transfer
235,Westerlo,Jordy Mathei,26,Belgium,Second Striker,FWD,0,KFC Houtvenne,Belgium,0,departure,Winter,proximus-league,2021,TRUE,Loan transfer
194,Silkeborg,Davit Skhirtladze,25,Georgia,Second Striker,FWD,300000,Spartak Trnava,Slovakia,0,departure,Summer,nordicbet-liga,2018,FALSE,free transfer
226,Viborg,Davit Skhirtladze,28,Georgia,Second Striker,FWD,300000,Dinamo Tbilisi,Georgia,0,departure,Summer,superligaen,2021,FALSE,free transfer
226,Viborg,Davit Skhirtladze,27,Georgia,Second Striker,FWD,300000,Dinamo Tbilisi,Georgia,0,arrival,Winter,nordicbet-liga,2020,FALSE,free transfer
153,Nordsjælland,Benjamin Nygren,20,Sweden,Second Striker,FWD,1500000,Genk,Belgium,600000,arrival,Winter,superligaen,2021,FALSE,NA
173,Randers,Karl Leth,19,Denmark,Second Striker,FWD,0,AB Argir,Faroe Islands,0,departure,Winter,superligaen,2021,FALSE,free transfer
11,Aston Villa,Ross McCormack,32,Scotland,Second Striker,FWD,0,Motherwell,Scotland,0,arrival,Summer,championship,2018,FALSE,end of loan
123,Luton Town,John McAtee,23,England,Second Striker,FWD,300000,Grimsby Town,England,0,arrival,Summer,championship,2022,FALSE,NA
123,Luton Town,John McAtee,23,England,Second Striker,FWD,300000,Grimsby Town,England,0,arrival,Summer,championship,2022,FALSE,end of loan
131,Middlesbrough,Stephen Walker,19,England,Second Striker,FWD,200000,Crewe Alexandra,England,0,arrival,Summer,championship,2019,FALSE,end of loan
131,Middlesbrough,Stephen Walker,20,England,Second Striker,FWD,200000,Crewe Alexandra,England,0,arrival,Summer,championship,2020,FALSE,end of loan
154,Norwich City,Steven Naismith,32,Scotland,Second Striker,FWD,0,Heart of Midlothian FC,Scotland,0,arrival,Summer,championship,2018,FALSE,end of loan
155,Nottingham Forest,Miguel Ángel Guerrero,30,Spain,Second Striker,FWD,450000,Olympiacos Piraeus,Greece,0,arrival,Summer,championship,2020,FALSE,free transfer
169,Preston North End,Graham Burke,24,Ireland,Second Striker,FWD,275000,Shamrock Rovers,Ireland,350000,arrival,Summer,championship,2018,FALSE,NA
169,Preston North End,Graham Burke,25,Ireland,Second Striker,FWD,275000,Gillingham FC,England,0,arrival,Summer,championship,2018,FALSE,end of loan
169,Preston North End,Graham Burke,27,Ireland,Second Striker,FWD,275000,Shamrock Rovers,Ireland,0,arrival,Summer,championship,2021,FALSE,end of loan
207,Stoke City,Bojan Krkic,27,"Spain, Serbia",Second Striker,FWD,0,Deportivo Alavés,Spain,0,arrival,Summer,championship,2018,FALSE,end of loan
210,Sunderland,Leon Dajaku,21,"Germany, Kosovo",Second Striker,FWD,1300000,Union Berlin,Germany,870000,arrival,Summer,championship,2022,FALSE,NA
210,Sunderland,Leon Dajaku,22,"Germany, Kosovo",Second Striker,FWD,1300000,FC St. Gallen 1879,Switzerland,0,arrival,Summer,championship,2023,FALSE,end of loan
11,Aston Villa,Ross McCormack,32,Scotland,Second Striker,FWD,0,Central Coast Mariners,Australia,0,departure,Summer,championship,2018,TRUE,Loan transfer
41,Cardiff City,Lee Tomlin,32,England,Second Striker,FWD,0,Without ClubWithout Club,0,0,departure,Summer,championship,2021,FALSE,NA
41,Cardiff City,Isaak Davies,21,Wales,Second Striker,FWD,800000,Kortrijk,Belgium,0,departure,Summer,championship,2023,TRUE,Loan transfer
79,Fulham,Ademola Lookman,23,"Nigeria, England",Second Striker,FWD,30000000,RB Leipzig,Germany,0,departure,Summer,championship,2021,FALSE,end of loan
123,Luton Town,John McAtee,23,England,Second Striker,FWD,300000,Grimsby Town,England,0,departure,Summer,championship,2022,TRUE,Loan transfer
131,Middlesbrough,Stephen Walker,20,England,Second Striker,FWD,200000,Milton Keynes Dons,England,0,departure,Summer,championship,2020,TRUE,Loan transfer
131,Middlesbrough,Stephen Walker,20,England,Second Striker,FWD,200000,Tranmere Rovers,England,0,departure,Summer,championship,2021,TRUE,Loan transfer
155,Nottingham Forest,Karim Ansarifard,29,Iran,Second Striker,FWD,700000,Al-Sailiya SC,Qatar,0,departure,Summer,championship,2019,FALSE,NA
169,Preston North End,Graham Burke,25,Ireland,Second Striker,FWD,275000,Shamrock Rovers,Ireland,0,departure,Summer,championship,2019,TRUE,Loan transfer
